"Aerospatiale (Nord) 262","ND2","N262"
"Aerospatiale (Sud Aviation) Se.210 Caravelle","CRV","S210"
"Aerospatiale SN.601 Corvette","NDC","S601"
"Aerospatiale/Alenia ATR 42-300","AT4","AT43"
"Aerospatiale/Alenia ATR 42-500","AT5","AT45"
"Aerospatiale/Alenia ATR 42-600","ATR","AT46"
"Aerospatiale/Alenia ATR 72","AT7","AT72"
"Airbus A300","AB3","A30B"
"Airbus A300-600","AB6","A306"
"Airbus A300-600ST Super Transporter / Beluga","ABB","A3ST"
"Airbus A310","310","A310"
"Airbus A318","318","A318"
"Airbus A319","319","A319"
"Airbus A319neo","31N","A19N"
"Airbus A320","320","A320"
"Airbus A320neo","32N","A20N"
"Airbus A321","321","A321"
"Airbus A321neo","32Q","A21N"
"Airbus A330","330",\N
"Airbus A330-200","332","A332"
"Airbus A330-300","333","A333"
"Airbus A330-700 Beluga XL",\N,"A337"
"Airbus A330-800neo","338","A338"
"Airbus A330-900neo","339","A339"
"Airbus A340","340",\N
"Airbus A340-200","342","A342"
"Airbus A340-300","343","A343"
"Airbus A340-500","345","A345"
"Airbus A340-600","346","A346"
